"name"	"description"	"enable"	"dir"	"profile"	"group"	"localip"	"remoteip"	"protocol"	"type:code[,...]"	"localport"	"remoteport"	"edge"	"program"	"service"	"interfacetype"	"rmtcomputergrp"	"rmtusrgrp"	"security"	"(rule_source)"	"action"
"""AllJoyn ルーター (TCP 受信)"""	"""AllJoyn ルーターのトラフィックの受信規則です [TCP]"""	"""yes"""	"""in"""	"""domain,private"""	"""AllJoyn ルーター"""	"""any"""	"""any"""	"""tcp"""	""""""	"""9955"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""AJRouter"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""AllJoyn ルーター (TCP 送信)"""	"""AllJoyn ルーターのトラフィックの送信規則です [TCP]"""	"""yes"""	"""out"""	"""domain,private"""	"""AllJoyn ルーター"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""AJRouter"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""AllJoyn ルーター (UDP 受信)"""	"""AllJoyn ルーター トラフィックの受信規則です [UDP]"""	"""yes"""	"""in"""	"""domain,private"""	"""AllJoyn ルーター"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""AJRouter"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""AllJoyn ルーター (UDP 受信)"""	"""AllJoyn ルーター トラフィックの受信規則です [UDP]"""	"""yes"""	"""in"""	"""domain,private"""	"""AllJoyn ルーター"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""CDPSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""AllJoyn ルーター (UDP 送信)"""	"""AllJoyn ルーターのトラフィックの送信規則です [UDP]"""	"""yes"""	"""out"""	"""domain,private"""	"""AllJoyn ルーター"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""AJRouter"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""AllJoyn ルーター (UDP 送信)"""	"""AllJoyn ルーターのトラフィックの送信規則です [UDP]"""	"""yes"""	"""out"""	"""domain,private"""	"""AllJoyn ルーター"""	"""any"""	"""any"""	"""udp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""CDPSvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Connected User Experiences and Telemetry"""	"""統合製品利用統計情報クライアント送信トラフィック"""	"""yes"""	"""out"""	"""domain,private,public"""	"""DiagTrack"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	""""""	"""DiagTrack"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Delivery Optimization (TCP-In)"""	"""リモート エンドポイントに接続する配信の最適化を許可するための受信規則です"""	"""yes"""	"""in"""	"""domain,private,public"""	"""Delivery Optimization"""	"""any"""	"""any"""	"""tcp"""	""""""	"""7680"""	"""any"""	"""yes"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""dosvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""Delivery Optimization (UDP-In)"""	"""リモート エンドポイントに接続する配信の最適化を許可するための受信規則です"""	"""yes"""	"""in"""	"""domain,private,public"""	"""Delivery Optimization"""	"""any"""	"""any"""	"""udp"""	""""""	"""7680"""	"""any"""	"""yes"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""dosvc"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""DIAL プロトコル サーバー (HTTP 受信)"""	"""HTTP を使用したアプリのリモート制御を許可するための DIAL プロトコル サーバーの受信規則です。[TCP 10247]"""	"""yes"""	"""in"""	"""domain"""	"""DIAL プロトコル サーバー"""	"""any"""	"""any"""	"""tcp"""	""""""	"""10247"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""DIAL プロトコル サーバー (HTTP 受信)"""	"""HTTP を使用したアプリのリモート制御を許可するための DIAL プロトコル サーバーの受信規則です。[TCP 10247]"""	"""yes"""	"""in"""	"""private"""	"""DIAL プロトコル サーバー"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""10247"""	"""any"""	"""no"""	"""System"""	""""""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""iSCSI サービス (TCP 受信)"""	"""iSCSI サーバーまたはデバイスとの通信を許可するための iSCSI サービスの受信規則です。[TCP]"""	"""no"""	"""in"""	"""domain"""	"""iSCSI サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Msiscsi"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""iSCSI サービス (TCP 受信)"""	"""iSCSI サーバーまたはデバイスとの通信を許可するための iSCSI サービスの受信規則です。[TCP]"""	"""no"""	"""in"""	"""private,public"""	"""iSCSI サービス"""	"""any"""	"""localsubnet"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Msiscsi"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
"""iSCSI サービス (TCP 送信)"""	"""iSCSI サーバーまたはデバイスとの通信を許可するための iSCSI サービスの送信規則です。[TCP]"""	"""no"""	"""out"""	"""domain"""	"""iSCSI サービス"""	"""any"""	"""any"""	"""tcp"""	""""""	"""any"""	"""any"""	"""no"""	"%SystemRoot%""\\system32\\svchost.exe"""	"""Msiscsi"""	"""any"""	""""""	""""""	"""notrequired"""	"""local_setting"""	"""allow"""
